purchase_frequency_monthly,avg_order_value_usd,tenure_months,customer_segment,product_category_preference,channel_preference,promotion_sensitivity,service_interactions,referral_count,geographic_region,demographic_segment,satisfaction_score,clv_usd
6.346899882492588,36.04461478505995,7.0,New,Multiple Categories,Store,High,14.0,0.0,International,Young Adults,2.9895576133209882,25621.055862779573
6.358144983250723,229.76978475262217,50.0,VIP,Single Category,Store,Medium,10.0,0.0,South,Families,4.342929195197145,8748.880433003531
6.857077150207391,89.55983438572153,69.0,,Single Category,Online,High,2.0,3.0,West,Retirees,3.2368799896630587,46867.12897745939
6.38013194861531,376.828366035386,64.0,Churned,Single Category,Store,,10.0,4.0,West,Young Adults,6.383990074340359,
3.182559982689403,125.50799144852094,39.0,New,Multiple Categories,Both,Low,2.0,2.0,South,Young Adults,9.9697829608837,29037.856802892726
7.515445176741732,191.0533052372362,17.0,Churned,Multiple Categories,Both,Low,7.0,4.0,West,Retirees,1.1033030885664659,17332.503653578195
,331.0351564452529,17.0,Churned,Multiple Categories,Store,Medium,13.0,1.0,West,Professionals,2.137594783885913,25596.158135513953
0.6778243232156664,206.22987915606637,,New,Multiple Categories,,High,15.0,9.0,South,Professionals,,29784.926209582318
2.8455128281575734,122.54832876284321,51.0,Regular,,Both,High,3.0,4.0,,Professionals,4.629465522436956,33159.87823582141
7.46141878630479,431.5250233951748,70.0,New,Multiple Categories,Both,High,16.0,8.0,South,Families,1.7771107195680313,42081.63367593753
3.5699062695973205,322.135681944308,49.0,New,Multiple Categories,Both,Medium,3.0,9.0,East,Retirees,5.032499618623513,38879.550914724525
5.7909909139519575,385.6987393728679,32.0,VIP,Multiple Categories,Store,Medium,15.0,2.0,South,Families,9.087091782364542,47320.104548055846
7.748108081364045,,61.0,Churned,Multiple Categories,Online,,19.0,4.0,North,Retirees,8.261315183169152,35728.29966183738
7.36735739708557,275.37588419967767,66.0,Regular,Multiple Categories,Store,Medium,1.0,3.0,North,Professionals,3.0296674968279795,17087.51129068945
6.920915838208086,385.0168495475711,59.0,,Single Category,Store,,12.0,6.0,West,Families,1.9209620880752079,37681.890660227524
6.831423428398747,367.60688491278154,35.0,VIP,Multiple Categories,Online,Medium,7.0,9.0,West,Retirees,9.446403605831708,27495.464332419902
3.326262588059266,252.55237747726065,15.0,Regular,Single Category,Store,Low,14.0,,International,Families,9.099839473821131,23129.475664348545
,398.0189541930212,19.0,Churned,Single Category,Both,High,15.0,9.0,International,Families,6.3015027148605585,14677.39014177722
5.718426783468036,465.111865701744,36.0,New,Multiple Categories,,High,10.0,7.0,North,Professionals,8.77184082706877,45342.41069147644
7.758892566061437,213.007422929163,32.0,Churned,Multiple Categories,Store,Medium,10.0,0.0,North,Professionals,3.322372184268069,2939.8595599147925
6.347031605856683,79.85058208025472,69.0,Regular,Multiple Categories,Store,Medium,5.0,5.0,West,Families,9.82334359762669,48811.702858485245
5.603565359776309,200.2144368949894,10.0,New,Multiple Categories,Online,High,0.0,8.0,South,Young Adults,8.176831121880351,9151.57339941933
4.342595569998378,247.53872933795358,2.0,,Multiple Categories,Store,Medium,6.0,,East,Young Adults,3.9269213071185707,3060.7739235410395
3.819746236007983,,63.0,VIP,Single Category,Store,Low,,6.0,West,Families,4.968776643360976,12117.963547064743
3.666569959540024,224.93194870593265,67.0,Regular,Multiple Categories,Both,Low,0.0,5.0,South,Young Adults,6.525235797195868,7856.365126270579
4.165019987101248,77.831904194349,5.0,Churned,Multiple Categories,Store,High,1.0,9.0,East,Families,4.760037535241975,36436.059711618545
2.2894654642281553,463.4365878926989,14.0,Churned,Single Category,Store,Low,4.0,6.0,West,Professionals,8.68687852340948,32430.720054312922
6.496865150307896,132.88238454286886,,New,Single Category,Online,High,15.0,7.0,West,Retirees,4.802149298434776,7237.974705422693
2.127668774381843,60.630567531566825,12.0,VIP,Single Category,Online,Low,1.0,9.0,East,Families,9.762243624395284,35746.09425370154
0.8059586483029721,286.81085711252655,31.0,New,Single Category,Store,Medium,,,International,Young Adults,6.596153165833721,37457.561449303364
1.0184206660146002,224.58383406009062,17.0,Regular,Single Category,Online,High,4.0,0.0,North,Retirees,6.063214582152353,21960.163046878824
1.8074936809493214,57.4636512212379,19.0,New,Multiple Categories,Both,Medium,13.0,3.0,International,Professionals,3.7488411913961293,23291.475169531157
7.84944560880651,499.35181722368696,62.0,Churned,Single Category,Online,High,5.0,0.0,South,Professionals,7.0327636849356026,10968.954981818382
4.593968166216448,442.5082587918921,16.0,New,Single Category,Both,High,3.0,8.0,West,Professionals,9.891641379472901,9879.950657888892
3.6025734011915778,50.77173740877201,10.0,Regular,Multiple Categories,Both,Medium,18.0,7.0,,Families,9.320496109599127,49824.049449124075
5.458090756988832,144.694899417649,23.0,Churned,Single Category,Both,Low,10.0,5.0,West,Families,5.906399796568452,42086.91305788939
4.830480574465179,296.2982239470747,37.0,VIP,Single Category,Both,Low,16.0,1.0,West,Families,1.1729393099042942,41416.46929543679
6.154440718948794,335.08432277519273,44.0,VIP,Multiple Categories,Both,High,5.0,2.0,East,Families,1.434139539583053,21073.155772680493
